Timestamp,Appliance,Usage_Watts
2025-09-12 15:32:39,AC,217
2025-09-12 15:32:39,Fridge,286
2025-09-12 15:32:39,Washing Machine,325
2025-09-12 15:32:39,TV,252
2025-09-12 15:33:39,AC,313
2025-09-12 15:33:39,Fridge,251
2025-09-12 15:33:39,Washing Machine,257
2025-09-12 15:33:39,TV,329
2025-09-12 15:34:39,AC,265
2025-09-12 15:34:39,Fridge,237
2025-09-12 15:34:39,Washing Machine,230
2025-09-12 15:34:39,TV,985
2025-09-12 15:35:39,AC,258
2025-09-12 15:35:39,Fridge,226
2025-09-12 15:35:39,Washing Machine,209
2025-09-12 15:35:39,TV,260
2025-09-12 15:36:39,AC,267
2025-09-12 15:36:39,Fridge,340
2025-09-12 15:36:39,Washing Machine,333
2025-09-12 15:36:39,TV,244
2025-09-12 15:37:39,AC,276
2025-09-12 15:37:39,Fridge,1354
2025-09-12 15:37:39,Washing Machine,248
2025-09-12 15:37:39,TV,347
2025-09-12 15:38:39,AC,254
2025-09-12 15:38:39,Fridge,342
2025-09-12 15:38:39,Washing Machine,270
2025-09-12 15:38:39,TV,229
2025-09-12 15:39:39,AC,1277
2025-09-12 15:39:39,Fridge,336
2025-09-12 15:39:39,Washing Machine,208
2025-09-12 15:39:39,TV,314
2025-09-12 15:40:39,AC,336
2025-09-12 15:40:39,Fridge,309
2025-09-12 15:40:39,Washing Machine,284
2025-09-12 15:40:39,TV,228
2025-09-12 15:41:39,AC,231
2025-09-12 15:41:39,Fridge,332
2025-09-12 15:41:39,Washing Machine,317
2025-09-12 15:41:39,TV,273
2025-09-12 15:42:39,AC,326
2025-09-12 15:42:39,Fridge,266
2025-09-12 15:42:39,Washing Machine,230
2025-09-12 15:42:39,TV,317
2025-09-12 15:43:39,AC,289
2025-09-12 15:43:39,Fridge,308
2025-09-12 15:43:39,Washing Machine,242
2025-09-12 15:43:39,TV,274
2025-09-12 15:44:39,AC,328
2025-09-12 15:44:39,Fridge,206
2025-09-12 15:44:39,Washing Machine,328
2025-09-12 15:44:39,TV,340
2025-09-12 15:45:39,AC,287
2025-09-12 15:45:39,Fridge,313
2025-09-12 15:45:39,Washing Machine,346
2025-09-12 15:45:39,TV,227
2025-09-12 15:46:39,AC,235
2025-09-12 15:46:39,Fridge,327
2025-09-12 15:46:39,Washing Machine,237
2025-09-12 15:46:39,TV,332
2025-09-12 15:47:39,AC,303
2025-09-12 15:47:39,Fridge,214
2025-09-12 15:47:39,Washing Machine,217
2025-09-12 15:47:39,TV,296
2025-09-12 15:48:39,AC,274
2025-09-12 15:48:39,Fridge,287
2025-09-12 15:48:39,Washing Machine,244
2025-09-12 15:48:39,TV,302
2025-09-12 15:49:39,AC,287
2025-09-12 15:49:39,Fridge,335
2025-09-12 15:49:39,Washing Machine,239
2025-09-12 15:49:39,TV,350
2025-09-12 15:50:39,AC,318
2025-09-12 15:50:39,Fridge,266
2025-09-12 15:50:39,Washing Machine,266
2025-09-12 15:50:39,TV,225
2025-09-12 15:51:39,AC,301
2025-09-12 15:51:39,Fridge,281
2025-09-12 15:51:39,Washing Machine,302
2025-09-12 15:51:39,TV,287
2025-09-12 15:52:39,AC,291
2025-09-12 15:52:39,Fridge,235
2025-09-12 15:52:39,Washing Machine,307
2025-09-12 15:52:39,TV,311
2025-09-12 15:53:39,AC,940
2025-09-12 15:53:39,Fridge,214
2025-09-12 15:53:39,Washing Machine,270
2025-09-12 15:53:39,TV,271
2025-09-12 15:54:39,AC,239
2025-09-12 15:54:39,Fridge,294
2025-09-12 15:54:39,Washing Machine,227
2025-09-12 15:54:39,TV,243
2025-09-12 15:55:39,AC,346
2025-09-12 15:55:39,Fridge,278
2025-09-12 15:55:39,Washing Machine,330
2025-09-12 15:55:39,TV,307
2025-09-12 15:56:39,AC,253
2025-09-12 15:56:39,Fridge,265
2025-09-12 15:56:39,Washing Machine,324
2025-09-12 15:56:39,TV,278
2025-09-12 15:57:39,AC,242
2025-09-12 15:57:39,Fridge,290
2025-09-12 15:57:39,Washing Machine,287
2025-09-12 15:57:39,TV,291
2025-09-12 15:58:39,AC,297
2025-09-12 15:58:39,Fridge,308
2025-09-12 15:58:39,Washing Machine,307
2025-09-12 15:58:39,TV,338
2025-09-12 15:59:39,AC,336
2025-09-12 15:59:39,Fridge,312
2025-09-12 15:59:39,Washing Machine,241
2025-09-12 15:59:39,TV,300
2025-09-12 16:00:39,AC,322
2025-09-12 16:00:39,Fridge,1432
2025-09-12 16:00:39,Washing Machine,350
2025-09-12 16:00:39,TV,333
2025-09-12 16:01:39,AC,288
2025-09-12 16:01:39,Fridge,257
2025-09-12 16:01:39,Washing Machine,267
2025-09-12 16:01:39,TV,262
2025-09-12 16:02:39,AC,208
2025-09-12 16:02:39,Fridge,245
2025-09-12 16:02:39,Washing Machine,237
2025-09-12 16:02:39,TV,261
2025-09-12 16:03:39,AC,306
2025-09-12 16:03:39,Fridge,277
2025-09-12 16:03:39,Washing Machine,334
2025-09-12 16:03:39,TV,300
2025-09-12 16:04:39,AC,248
